college_name,academic_reputation,graduation_rates,retention_rates,faculty_resources,student_to_faculty_ratio,research_output,financial_resources,student_satisfaction,employment_outcomes,true_scores
New_College_1,3.342507699760859,54.571750235586926,88.85952111277301,6.241959001981016,26.990407681027584,16.335614445203944,8680193.98786423,3.0991535284174048,88.76684626278532,9.945661985555743
New_College_2,3.977484756042507,26.703702310047106,71.16360559045603,1.5927629684031337,26.217952941085624,93.9374132452934,30518382.25055301,3.792211597449527,56.891367775063515,58.737384129997054
New_College_3,2.4646094132588474,42.77092099465969,23.52561978104276,7.213905881373313,12.22205278493534,79.03485790423628,9298676.606054083,1.824598141605513,36.28610826740167,45.62329503236665
New_College_4,1.5608448821429088,54.549415735664454,39.6804706819906,7.066926538353442,41.08821532870908,38.48686686754139,43294363.81782714,4.685802153424284,45.353800845738355,67.46666030882432
New_College_5,2.352138244405621,5.712967921090451,10.100568445233716,9.236010446353058,9.342635936680704,53.787074158674464,48840658.397897914,1.5425683514843027,2.605241722260143,50.607209381695654
New_College_6,4.441598628818953,78.92542223090699,37.27621315817131,5.21731242956904,10.224340518686763,39.76117055986433,36248910.14049208,1.631842205682096,50.11643758911003,43.876344222395645
New_College_7,4.583941639181493,17.940524210538168,0.49293379784627334,9.937156746638546,31.028347367899844,51.891025307681666,18706783.747848257,1.498977796385784,90.05926876135251,35.52864791344508
New_College_8,1.8023629511443184,45.13886524767784,54.25185164854954,9.296755075724853,15.332597570001028,51.94549179102766,37489325.03001453,4.197299585089647,87.44302071588807,6.570061931337423
New_College_9,1.3500274128698462,87.12880822448248,5.1766188542577085,4.886345892781174,44.80844066207236,76.14966543369432,69329285.8956219,1.3844666326818555,6.968895216480875,68.91746903148271
New_College_10,1.3918646072338303,82.22192282578665,11.030190523390882,3.8397130925640632,49.91614653108325,66.65251691731498,13117864.669434357,3.022885504929898,49.057916819774626,17.490415670714455
